# Traffic Generation Log - Sun 13 Jul 2025 05:26:52 PM UTC
# Format: timestamp,test_type,src_host,dst_host,result
2025-07-13 17:26:57,ping,h1,h3,FAIL
2025-07-13 17:27:02,ping,h1,h4,FAIL
2025-07-13 17:27:07,ping,h1,h5,FAIL
2025-07-13 17:27:12,ping,h1,h6,FAIL
2025-07-13 17:27:17,ping,h2,h3,FAIL
2025-07-13 17:27:23,ping,h2,h4,FAIL
2025-07-13 17:27:27,ping,h2,h5,FAIL
2025-07-13 17:27:32,ping,h2,h6,FAIL
2025-07-13 17:27:37,ping,h3,h5,FAIL
2025-07-13 17:27:42,ping,h3,h6,FAIL
2025-07-13 17:27:47,ping,h4,h5,FAIL
2025-07-13 17:27:52,ping,h4,h6,FAIL
2025-07-13 17:27:58,throughput,h1,h4,73Mbps_OK
2025-07-13 17:28:00,throughput,h1,h5,30Mbps_OK
2025-07-13 17:28:02,throughput,h2,h6,92Mbps_OK
2025-07-13 17:28:04,throughput,h3,h4,24Mbps_OK
2025-07-13 17:28:11,latency,h1,h3,15ms_OK
2025-07-13 17:28:12,latency,h1,h5,35ms_OK
2025-07-13 17:28:13,latency,h2,h6,38ms_OK
2025-07-13 17:28:19,packet_loss,h1,h4,1.59%_VIOLATED
2025-07-13 17:28:20,packet_loss,h2,h5,.69%_OK
2025-07-13 17:28:21,packet_loss,h3,h6,2.88%_VIOLATED
2025-07-13 17:28:33,ping,h1,h3,FAIL
2025-07-13 17:28:38,ping,h1,h4,FAIL
2025-07-13 17:28:43,ping,h1,h5,FAIL
2025-07-13 17:28:48,ping,h1,h6,FAIL
2025-07-13 17:28:53,ping,h2,h3,FAIL
2025-07-13 17:28:58,ping,h2,h4,FAIL
2025-07-13 17:29:03,ping,h2,h5,FAIL
2025-07-13 17:29:08,ping,h2,h6,FAIL
2025-07-13 17:29:13,ping,h3,h5,FAIL
2025-07-13 17:29:18,ping,h3,h6,FAIL
2025-07-13 17:29:23,ping,h4,h5,FAIL
2025-07-13 17:29:28,ping,h4,h6,FAIL
2025-07-13 17:29:34,throughput,h1,h4,41Mbps_OK
2025-07-13 17:29:36,throughput,h1,h5,49Mbps_OK
2025-07-13 17:29:38,throughput,h2,h6,41Mbps_OK
2025-07-13 17:29:40,throughput,h3,h4,93Mbps_OK
2025-07-13 17:29:47,latency,h1,h3,42ms_OK
2025-07-13 17:29:48,latency,h1,h5,41ms_OK
2025-07-13 17:29:49,latency,h2,h6,62ms_VIOLATED
2025-07-13 17:29:55,packet_loss,h1,h4,.90%_OK
2025-07-13 17:29:56,packet_loss,h2,h5,.27%_OK
2025-07-13 17:29:57,packet_loss,h3,h6,2.43%_VIOLATED
2025-07-13 17:30:08,ping,h1,h3,FAIL
2025-07-13 17:30:13,ping,h1,h4,FAIL
2025-07-13 17:30:18,ping,h1,h5,FAIL
2025-07-13 17:30:24,ping,h1,h6,FAIL
2025-07-13 17:30:29,ping,h2,h3,FAIL
2025-07-13 17:30:34,ping,h2,h4,FAIL
2025-07-13 17:30:39,ping,h2,h5,FAIL
2025-07-13 17:30:43,ping,h2,h6,FAIL
2025-07-13 17:30:48,ping,h3,h5,FAIL
2025-07-13 17:30:54,ping,h3,h6,FAIL
2025-07-13 17:30:59,ping,h4,h5,FAIL
2025-07-13 17:31:04,ping,h4,h6,FAIL
